episode ,mean     ,max
 713000 ,96155    ,175160
 714000 ,95615.4  ,176556
 715000 ,95281.8  ,177248
 716000 ,96436.2  ,174908
 717000 ,95370.9  ,175028
 718000 ,90826.2  ,176568
 719000 ,92677    ,176384
 720000 ,94723.4  ,175196
 721000 ,92464.5  ,174936
 722000 ,94423.4  ,174804
 723000 ,92380.7  ,167936
 724000 ,94496.7  ,177048
 725000 ,95047.4  ,175536
 726000 ,95702.9  ,175104
 727000 ,93333.5  ,177408
 728000 ,95122.5  ,177312
 729000 ,91297.3  ,175500
 730000 ,92275.3  ,174812
 731000 ,92655.1  ,171668
 732000 ,96717.6  ,176556
 733000 ,93362.5  ,174080
 734000 ,95388.7  ,175712
 735000 ,96940.5  ,176356
 736000 ,93950.3  ,176268
 737000 ,95674.2  ,178620
 738000 ,93260.4  ,175188
 739000 ,93875.1  ,176296
 740000 ,95142.9  ,173320
 741000 ,91598.7  ,174280
 742000 ,91354.5  ,171564
 743000 ,94204.3  ,172392
 744000 ,94083.4  ,173884
 745000 ,93367.4  ,173260
 746000 ,91338.6  ,168308
 747000 ,95846.1  ,176692
 748000 ,92006    ,173052
 749000 ,92759.3  ,169000
 750000 ,93049.2  ,168380
 751000 ,91252.3  ,174988
 752000 ,92797.4  ,174512
 753000 ,94819    ,175140
 754000 ,95216.6  ,226160
 755000 ,95040.5  ,173188
 756000 ,92733.9  ,172848
 757000 ,96444    ,175940
 758000 ,96563.5  ,173316
 759000 ,93833.9  ,176356
 760000 ,92637.9  ,174276
 761000 ,96334.6  ,177144
 762000 ,97020.5  ,177148
 763000 ,96994.8  ,174600
 764000 ,93320.1  ,175012
 765000 ,94230.6  ,174604
 766000 ,95772.2  ,173780
 767000 ,94782.6  ,176872
 768000 ,95686.5  ,175612
 769000 ,93331.1  ,174528
 770000 ,94190.5  ,235408
 771000 ,97698.3  ,173532
 772000 ,92381.9  ,172552
 773000 ,94727    ,170400
 774000 ,94535.8  ,172600
 775000 ,93736.1  ,175488
 776000 ,94351.4  ,173276
 777000 ,94565.7  ,174504
 778000 ,94347.8  ,175484
 779000 ,95481    ,175040
 780000 ,93003.1  ,174000
